NA
2020-07-17 05:23:12 55/4800: dim(data)=100000x(20+40),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 05:31:36 56/4800: dim(data)=5000x(50+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 06:19:59 57/4800: dim(data)=10000x(50+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 06:29:31 58/4800: dim(data)=20000x(50+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 07:27:59 59/4800: dim(data)=50000x(50+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 08:14:13 60/4800: dim(data)=100000x(50+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 08:29:24 61/4800: dim(data)=5000x(5+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 08:46:28 62/4800: dim(data)=10000x(5+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 09:08:24 63/4800: dim(data)=20000x(5+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 09:38:56 64/4800: dim(data)=50000x(5+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 10:29:37 65/4800: dim(data)=100000x(5+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 11:42:39 66/4800: dim(data)=5000x(10+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 12:01:19 67/4800: dim(data)=10000x(10+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 12:10:34 68/4800: dim(data)=20000x(10+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 12:34:20 69/4800: dim(data)=50000x(10+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 12:58:37 70/4800: dim(data)=100000x(10+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 14:12:40 71/4800: dim(data)=5000x(20+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 14:53:30 72/4800: dim(data)=10000x(20+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 15:33:50 73/4800: dim(data)=20000x(20+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 15:49:46 74/4800: dim(data)=50000x(20+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 16:04:08 75/4800: dim(data)=100000x(20+100),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 16:59:39 76/4800: dim(data)=5000x(50+250),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 18:25:57 77/4800: dim(data)=10000x(50+250),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 19:16:12 78/4800: dim(data)=20000x(50+250),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 20:31:14 79/4800: dim(data)=50000x(50+250),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 22:38:16 80/4800: dim(data)=100000x(50+250),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 22:41:02 81/4800: dim(data)=5000x(5+2),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 22:55:09 82/4800: dim(data)=10000x(5+2),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 23:10:23 83/4800: dim(data)=20000x(5+2),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 23:27:04 84/4800: dim(data)=50000x(5+2),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 23:49:31 85/4800: dim(data)=100000x(5+2),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 00:24:14 86/4800: dim(data)=5000x(10+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 00:38:24 87/4800: dim(data)=10000x(10+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 00:53:31 88/4800: dim(data)=20000x(10+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 01:16:12 89/4800: dim(data)=50000x(10+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 01:54:17 90/4800: dim(data)=100000x(10+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 02:40:17 91/4800: dim(data)=5000x(20+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
